LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1001,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT
Ahmednagar,2000 - 2001,0,0,0,0,0,0,0,28,46.25,442.35,0,28,46.25,442.35,0,0,0,0,0,0,0,28,46.15,242.59,0,28,46.15,242.59
Ahmednagar,2001 - 2002,25,54.45,797.87,5,19,0,0,0,0,0,0,25,54.45,797.87,25,54.19,753.44,5,19,0,0,0,0,0,0,25,54.19,753.44
Ahmednagar,2003 - 2004,24,68.03,"1,142.30",1,23,0,0,0,0,0,0,24,68.03,"1,142.30",24,66.788,"1,073.59",1,23,0,0,0,0,0,0,24,66.788,"1,073.59"
Ahmednagar,2004 - 2005,6,14.52,282.55,0,4,2,0,0,0,0,0,6,14.52,282.55,6,14.105,277.01,0,4,2,0,0,0,0,0,6,14.105,277.01
Ahmednagar,2006 - 2007,3,6.25,181.28,0,1,2,0,17,332.14,"7,112.73",0,20,338.39,"7,294.01",3,6.065,185.21,0,1,2,0,17,327.584,"7,094.32",0,20,333.649,"7,279.53"
Ahmednagar,2007 - 2008,0,0,0,0,0,0,0,10,266.87,"8,463.17",0,10,266.87,"8,463.17",0,0,0,0,0,0,0,10,248.475,"8,443.95",0,10,248.475,"8,443.95"
Ahmednagar,2010 - 2011,13,33.97,"1,039.05",0,13,0,0,18,278.045,"7,549.03",0,31,312.015,"8,588.08",13,34.079,"1,248.64",0,13,0,0,18,265.352,"7,755.44",0,31,299.431,"9,004.08"
Ahmednagar,2012 - 2013,21,50.735,"2,574.55",0,19,1,0,2,24.66,"1,347.60",14,23,75.395,"5,758.25",21,48.845,"2,027.35",0,19,1,0,2,23.26,"1,073.82",14,23,72.105,"4,695.89"
Ahmednagar,2013 - 2014,3,7.65,427.3,0,0,3,0,34,170.67,"9,021.95",3,37,178.32,"9,449.25",3,7.39,423.28,0,0,3,0,34,161.41,"8,106.64",3,37,168.8,"8,929.69"
Ahmednagar,2017 - 2018,18,49.495,"2,622.86",0,18,0,0,0,0,0,1,18,49.495,"2,663.24",17,48.46,"3,021.92",0,17,0,0,0,0,0,1,17,48.46,"3,066.31"
Ahmednagar,2020 - 2021,0,0,0,0,0,0,0,8,63.32,"4,155.73",0,8,63.32,"4,155.73",0,0,0,0,0,0,0,8,63.32,"4,037.38",0,8,63.32,"4,037.38"
Ahmednagar,2022 - 2023,0,0,0,0,0,0,0,39,281.45,"21,337.60",0,39,281.45,"21,337.60",0,0,0,0,0,0,0,15,210.295,"16,943.38",0,15,210.295,"16,943.38"
Ahmednagar,2023 - 2024,0,0,0,0,0,0,0,5,28.27,"3,053.89",4,5,28.27,"3,053.89",0,0,0,0,0,0,0,0,0,103.21,0,0,0,103.21
Ahmednagar,2024 - 2025,0,0,0,0,0,0,0,7,41.41,"3,615.07",0,7,41.41,"3,615.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akola,2000 - 2001,0,0,0,0,0,0,0,31,47.98,339.42,0,31,47.98,339.42,0,0,0,0,0,0,0,31,47.98,46.3,0,31,47.98,46.3
Akola,2001 - 2002,15,38,788.15,1,14,0,0,0,0,0,0,15,38,788.15,15,38,"1,230.52",1,14,0,0,0,0,0,0,15,38,"1,230.52"
Akola,2003 - 2004,4,11.76,185.77,0,2,0,0,0,0,0,0,4,11.76,185.77,4,11.76,142.23,0,2,0,0,0,0,0,0,4,11.76,142.23
Akola,2004 - 2005,0,0,0,0,0,0,0,2,5.57,84.03,0,2,5.57,84.03,0,0,0,0,0,0,0,2,5.57,64.77,0,2,5.57,64.77
Akola,2006 - 2007,3,9.82,187.76,0,3,0,0,42,176.36,"2,425.45",0,45,186.18,"2,613.21",3,9.82,180.04,0,3,0,0,42,176.26,"2,360.41",0,45,186.08,"2,540.45"
Akola,2007 - 2008,0,0,0,0,0,0,0,11,138.5,"4,149.30",0,11,138.5,"4,149.30",0,0,0,0,0,0,0,11,123.5,"4,127.40",0,11,123.5,"4,127.40"
Akola,2010 - 2011,2,4,253.51,0,2,0,0,14,177.8,"5,441.94",0,16,181.8,"5,695.45",2,4,250.37,0,2,0,0,14,177.8,"6,028.62",0,16,181.8,"6,278.99"
Akola,2012 - 2013,0,0,0,0,0,0,0,1,13.2,"1,378.03",15,1,13.2,"2,656.90",0,0,0,0,0,0,0,1,13.2,889.07,15,1,13.2,"1,822.27"
Akola,2013 - 2014,0,0,0,0,0,0,0,3,22.8,"1,583.97",0,3,22.8,"1,583.97",0,0,0,0,0,0,0,3,22.8,"1,458.52",0,3,22.8,"1,458.52"
Akola,2014 - 2015,0,0,0,0,0,0,0,2,20.4,"1,616.59",5,2,20.4,"1,616.59",0,0,0,0,0,0,0,2,20.4,"1,051.79",5,2,20.4,"1,663.08"
Akola,2020 - 2021,0,0,0,0,0,0,0,9,105.31,"8,589.08",0,9,105.31,"8,589.08",0,0,0,0,0,0,0,9,105.31,"10,437.31",0,9,105.31,"10,437.31"
Akola,2022 - 2023,0,0,0,0,0,0,0,1,10.7,"1,201.53",0,1,10.7,"1,201.53",0,0,0,0,0,0,0,1,10.7,994.29,0,1,10.7,994.29
Amrawati,2000 - 2001,0,0,0,0,0,0,0,38,82,487.4,0,38,82,487.4,0,0,0,0,0,0,0,38,82,433.48,0,38,82,433.48
Amrawati,2001 - 2002,2,7.3,133.62,0,2,0,0,8,36.75,496.22,0,10,44.05,629.84,2,7.3,134.16,0,2,0,0,8,36.75,465.69,0,10,44.05,599.85
Amrawati,2003 - 2004,0,0,0,0,0,0,0,3,12,153.04,0,3,12,153.04,0,0,0,0,0,0,0,3,12,169.25,0,3,12,169.25
Amrawati,2004 - 2005,0,0,0,0,0,0,0,3,9.25,102.76,0,3,9.25,102.76,0,0,0,0,0,0,0,3,9.25,132.52,0,3,9.25,132.52
Amrawati,2006 - 2007,0,0,0,0,0,0,0,34,169.5,"2,519.05",0,34,169.5,"2,519.05",0,0,0,0,0,0,0,34,169.5,"2,642.40",0,34,169.5,"2,642.40"
Amrawati,2007 - 2008,0,0,0,0,0,0,0,8,101.1,"2,565.88",0,8,101.1,"2,565.88",0,0,0,0,0,0,0,8,97.1,"2,860.52",0,8,97.1,"2,860.52"
Amrawati,2010 - 2011,0,0,0,0,0,0,0,15,114.78,"2,877.66",0,15,114.78,"2,877.66",0,0,0,0,0,0,0,15,107.28,"2,571.75",0,15,107.28,"2,571.75"
Amrawati,2012 - 2013,0,0,0,0,0,0,0,1,15.2,872.66,25,1,15.2,"2,695.07",0,0,0,0,0,0,0,1,15,914.21,25,1,15,"2,619.28"
Amrawati,2013 - 2014,0,0,0,0,0,0,0,19,98.65,"4,309.28",1,19,98.65,"4,372.33",0,0,0,0,0,0,0,19,96.45,"3,868.73",1,19,96.45,"3,924.95"
Amrawati,2014 - 2015,0,0,0,0,0,0,0,1,11.6,778.19,2,1,11.6,778.19,0,0,0,0,0,0,0,1,11.6,540.47,2,1,11.6,732.26
Amrawati,2020 - 2021,0,0,0,0,0,0,0,28,180.125,"12,969.87",0,28,180.125,"12,969.87",0,0,0,0,0,0,0,26,173.591,"11,863.92",0,26,173.591,"11,863.92"
Amrawati,2023 - 2024,0,0,0,0,0,0,0,0,0,"4,233.58",22,0,0,"4,233.58",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,233.13"
Aurangabad,2000 - 2001,0,0,0,0,0,0,0,32,48.76,414.19,0,32,48.76,414.19,0,0,0,0,0,0,0,32,48.76,281.17,0,32,48.76,281.17
Aurangabad,2001 - 2002,14,34.62,506.01,3,9,0,0,13,31.24,337.61,0,27,65.86,843.62,14,34.62,151.03,3,9,0,0,13,31.24,317.79,0,27,65.86,468.82
Aurangabad,2003 - 2004,1,2.25,51.02,0,1,0,0,9,36.91,511.15,0,10,39.16,562.17,1,2.25,0,0,1,0,0,9,36.91,429.31,0,10,39.16,429.31
Aurangabad,2006 - 2007,1,7.61,137.98,0,2,0,0,31,148.12,"2,629.91",0,32,155.73,"2,767.89",1,7.61,108.07,0,2,0,0,31,148.12,"3,941.50",0,32,155.73,"4,049.57"
Aurangabad,2007 - 2008,0,0,0,0,0,0,0,12,135.565,"3,908.32",0,12,135.565,"3,908.32",0,0,0,0,0,0,0,12,135.56,"3,824.66",0,12,135.56,"3,824.66"
Aurangabad,2010 - 2011,3,5.72,194.27,0,5,0,0,49,215.29,"5,458.79",0,52,221.01,"5,653.06",3,5.72,308.2,0,5,0,0,49,202.24,"3,987.22",0,52,207.96,"4,295.42"
Aurangabad,2012 - 2013,0,0,0,0,0,0,0,2,6,328.13,44,2,6,"4,101.02",0,0,0,0,0,0,0,2,6,335.82,44,2,6,"4,097.07"
Aurangabad,2013 - 2014,0,0,0,0,0,0,0,15,75.95,"4,261.54",2,15,75.95,"4,261.54",0,0,0,0,0,0,0,15,74.383,"3,315.38",2,15,74.383,"3,754.38"
Aurangabad,2014 - 2015,0,0,0,0,0,0,0,4,20.6,"1,476.86",2,4,20.6,"1,476.86",0,0,0,0,0,0,0,4,20.6,"1,084.17",2,4,20.6,"1,278.69"
Aurangabad,2020 - 2021,0,0,0,0,0,0,0,20,151.761,"11,974.65",0,20,151.761,"11,974.65",0,0,0,0,0,0,0,17,143.452,"11,223.09",0,17,143.452,"11,223.09"
Aurangabad,2022 - 2023,0,0,0,0,0,0,0,1,3.5,333.35,0,1,3.5,333.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurangabad,2023 - 2024,0,0,0,0,0,0,0,1,6.1,"3,627.27",15,1,6.1,"3,627.27",0,0,0,0,0,0,0,0,0,0,0,0,0,105.51
Aurangabad,2024 - 2025,0,0,0,0,0,0,0,5,30.67,"2,779.65",0,5,30.67,"2,779.65",0,0,0,0,0,0,0,0,5,484.6,0,0,5,484.6
Beed,2000 - 2001,0,0,0,0,0,0,0,34,40.16,346.26,0,34,40.16,346.26,0,0,0,0,0,0,0,34,40.16,0.84,0,34,40.16,0.84
Beed,2001 - 2002,11,16.38,232.43,2,8,0,0,26,43.28,448.84,0,37,59.66,681.27,11,16.38,249.27,2,8,0,0,26,43.28,457.49,0,37,59.66,706.76
Beed,2003 - 2004,0,0,0,0,0,0,0,7,23.8,153.47,0,7,23.8,153.47,0,0,0,0,0,0,0,7,23.8,172.8,0,7,23.8,172.8
Beed,2004 - 2005,0,0,0,0,0,0,0,6,13.9,135.12,0,6,13.9,135.12,0,0,0,0,0,0,0,6,13.9,135.41,0,6,13.9,135.41
Beed,2006 - 2007,1,0.8,18,0,1,0,0,75,313.9,"3,381.75",0,76,314.7,"3,399.75",1,0.8,23.07,0,1,0,0,75,309.75,"3,329.09",0,76,310.55,"3,352.16"
Beed,2007 - 2008,0,0,0,0,0,0,0,9,137.1,"3,128.01",0,9,137.1,"3,128.01",0,0,0,0,0,0,0,9,133,"3,323.99",0,9,133,"3,323.99"
Beed,2010 - 2011,4,6.74,189.16,0,5,0,0,50,238.82,"5,572.09",0,54,245.56,"5,761.25",4,6.74,385.19,0,5,0,0,50,237.92,"5,990.77",0,54,244.66,"6,375.96"
Beed,2012 - 2013,0,0,0,0,0,0,0,2,19.31,954.07,31,2,19.31,"3,604.15",0,0,0,0,0,0,0,2,19.31,"1,003.57",31,2,19.31,"3,547.78"
Beed,2013 - 2014,0,0,0,0,0,0,0,7,57.03,"3,461.75",4,7,57.03,"3,461.75",0,0,0,0,0,0,0,7,54.844,"2,652.10",4,7,54.844,"3,047.05"
Beed,2014 - 2015,0,0,0,0,0,0,0,5,44.69,"3,342.78",5,5,44.69,"3,342.78",0,0,0,0,0,0,0,5,44.69,"2,812.25",5,5,44.69,"3,258.16"
Beed,2020 - 2021,0,0,0,0,0,0,0,8,62.15,"5,049.27",0,8,62.15,"5,049.27",0,0,0,0,0,0,0,8,60.5,"5,311.74",0,8,60.5,"5,311.74"
Beed,2022 - 2023,0,0,0,0,0,0,0,19,107.46,"9,475.89",0,19,107.46,"9,475.89",0,0,0,0,0,0,0,3,53.26,"5,201.21",0,3,53.26,"5,201.21"
Beed,2023 - 2024,0,0,0,0,0,0,0,3,15.95,"2,380.28",3,3,15.95,"2,380.28",0,0,0,0,0,0,0,0,0,70.32,0,0,0,70.32
Beed,2024 - 2025,0,0,0,0,0,0,0,5,38.8,"2,903.18",0,5,38.8,"2,903.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhandara,2000 - 2001,0,0,0,0,0,0,0,10,25.8,221.32,0,10,25.8,221.32,0,0,0,0,0,0,0,10,24.55,21.21,0,10,24.55,21.21
Bhandara,2001 - 2002,0,0,0,0,0,0,0,24,62.55,742.31,0,24,62.55,742.31,0,0,0,0,0,0,0,24,63.06,715.15,0,24,63.06,715.15
Bhandara,2003 - 2004,0,0,0,0,0,0,0,5,14.8,138.12,0,5,14.8,138.12,0,0,0,0,0,0,0,5,14.3,160.54,0,5,14.3,160.54
Bhandara,2004 - 2005,0,0,0,0,0,0,0,3,11.3,141.62,0,3,11.3,141.62,0,0,0,0,0,0,0,3,11.45,98.77,0,3,11.45,98.77
Bhandara,2006 - 2007,0,0,0,0,0,0,0,55,161.97,"2,113.95",0,55,161.97,"2,113.95",0,0,0,0,0,0,0,55,161.21,"2,284.35",0,55,161.21,"2,284.35"
Bhandara,2007 - 2008,0,0,0,0,0,0,0,15,96.09,"2,539.10",0,15,96.09,"2,539.10",0,0,0,0,0,0,0,15,96.849,"2,409.14",0,15,96.849,"2,409.14"
Bhandara,2008 - 2009,0,0,0,0,0,0,0,9,45.85,"1,064.66",0,9,45.85,"1,064.66",0,0,0,0,0,0,0,9,44.51,252.88,0,9,44.51,252.88
Bhandara,2010 - 2011,0,0,0,0,0,0,0,16,83.89,"2,249.61",0,16,83.89,"2,249.61",0,0,0,0,0,0,0,16,83.37,"3,059.76",0,16,83.37,"3,059.76"
Bhandara,2013 - 2014,0,0,0,0,0,0,0,10,66.61,"3,610.44",8,10,66.61,"4,211.84",0,0,0,0,0,0,0,10,65.785,"3,231.20",8,10,65.785,"3,735.62"
Bhandara,2020 - 2021,0,0,0,0,0,0,0,20,124.1,"9,376.56",0,20,124.1,"9,376.56",0,0,0,0,0,0,0,18,121.344,"7,277.62",0,18,121.344,"7,277.62"
Bhandara,2022 - 2023,0,0,0,0,0,0,0,4,24.51,"1,644.83",0,4,24.51,"1,644.83",0,0,0,0,0,0,0,2,24.274,"1,109.08",0,2,24.274,"1,109.08"
Bhandara,2023 - 2024,0,0,0,0,0,0,0,0,0,190.75,1,0,0,190.75,0,0,0,0,0,0,0,0,0,0,0,0,0,85.19
Buldhana,2000 - 2001,3,8.5,60.65,0,1,0,0,19,24.3,346.6,0,22,32.8,407.25,3,8.5,0.1,0,1,0,0,19,24.3,80.01,0,22,32.8,80.11
Buldhana,2001 - 2002,13,37.08,599.06,2,10,0,0,5,14.5,226.82,0,18,51.58,825.88,13,37.08,"1,164.55",2,10,0,0,5,14.5,193.93,0,18,51.58,"1,358.48"
Buldhana,2003 - 2004,10,25.42,476.66,2,9,0,0,0,0,0,0,10,25.42,476.66,10,25.42,305.09,2,9,0,0,0,0,0,0,10,25.42,305.09
Buldhana,2004 - 2005,1,3.2,70.62,0,1,0,0,3,8.4,88.3,0,4,11.6,158.92,1,3.2,0,0,1,0,0,3,8.4,612.97,0,4,11.6,612.97
Buldhana,2006 - 2007,8,22,437.31,1,7,0,0,35,146.65,"2,188.12",0,43,168.65,"2,625.43",8,22,277.73,1,7,0,0,35,146.65,"2,222.37",0,43,168.65,"2,500.10"
Buldhana,2007 - 2008,0,0,0,0,0,0,0,8,97.62,"2,097.14",0,8,97.62,"2,097.14",0,0,0,0,0,0,0,8,97.62,"2,105.16",0,8,97.62,"2,105.16"
Buldhana,2010 - 2011,2,10,286.33,0,2,0,0,25,160.26,"4,113.17",0,27,170.26,"4,399.50",2,10,32.24,0,2,0,0,25,160.26,"4,278.16",0,27,170.26,"4,310.40"
Buldhana,2012 - 2013,0,0,0,0,0,0,0,0,0,0,12,0,0,699.44,0,0,0,0,0,0,0,0,0,0,12,0,0,645.76
Buldhana,2013 - 2014,0,0,0,0,0,0,0,2,15.7,771.36,0,2,15.7,771.36,0,0,0,0,0,0,0,2,15.7,725.93,0,2,15.7,725.93
Buldhana,2014 - 2015,0,0,0,0,0,0,0,4,30.55,"1,653.42",2,4,30.55,"1,653.42",0,0,0,0,0,0,0,4,30.55,"1,305.71",2,4,30.55,"1,493.63"
Buldhana,2017 - 2018,1,6.7,700.74,0,1,0,0,0,0,0,2,1,6.7,810.21,1,6.7,613.79,0,1,0,0,0,0,0,2,1,6.7,733.43
Buldhana,2020 - 2021,0,0,0,0,0,0,0,17,86.61,"6,072.96",0,17,86.61,"6,072.96",0,0,0,0,0,0,0,12,75.24,"6,317.64",0,12,75.24,"6,317.64"
Buldhana,2022 - 2023,0,0,0,0,0,0,0,1,6.23,470.91,0,1,6.23,470.91,0,0,0,0,0,0,0,1,6.23,332.66,0,1,6.23,332.66
Buldhana,2023 - 2024,0,0,0,0,0,0,0,0,0,"2,151.23",9,0,0,"2,151.23",0,0,0,0,0,0,0,0,0,0,0,0,0,580.15
Buldhana,2024 - 2025,0,0,0,0,0,0,0,1,7.5,746.62,0,1,7.5,746.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandrapur,2000 - 2001,0,0,0,0,0,0,0,19,25.3,372.89,0,19,25.3,372.89,0,0,0,0,0,0,0,19,25.3,429.99,0,19,25.3,429.99
Chandrapur,2001 - 2002,0,0,0,0,0,0,0,19,57.91,799.56,0,19,57.91,799.56,0,0,0,0,0,0,0,19,57.92,695.75,0,19,57.92,695.75
Chandrapur,2003 - 2004,2,1.6,37.84,0,0,2,0,4,8.83,87.98,0,6,10.43,125.82,2,1.6,21.82,0,0,2,0,4,8.83,73.59,0,6,10.43,95.41
Chandrapur,2004 - 2005,3,6.66,106.36,0,0,3,0,4,12.67,150.77,0,7,19.33,257.13,3,6.66,64.94,0,0,3,0,4,12.67,149.17,0,7,19.33,214.11
Chandrapur,2006 - 2007,0,0,0,0,0,0,0,26,138.37,"1,649.23",0,26,138.37,"1,649.23",0,0,0,0,0,0,0,26,138.37,"1,561.50",0,26,138.37,"1,561.50"
Chandrapur,2007 - 2008,0,0,0,0,0,0,0,10,160.12,"5,210.75",0,10,160.12,"5,210.75",0,0,0,0,0,0,0,10,160.12,"5,314.15",0,10,160.12,"5,314.15"
Chandrapur,2008 - 2009,0,0,0,0,0,0,0,1,14.65,352.75,0,1,14.65,352.75,0,0,0,0,0,0,0,1,14.65,313.44,0,1,14.65,313.44
Chandrapur,2010 - 2011,0,0,0,0,0,0,0,10,118.73,"3,284.61",0,10,118.73,"3,284.61",0,0,0,0,0,0,0,10,115.31,"1,897.35",0,10,115.31,"1,897.35"
Chandrapur,2012 - 2013,0,0,0,0,0,0,0,2,15.4,788.3,2,2,15.4,"1,179.10",0,0,0,0,0,0,0,2,15.4,736.39,2,2,15.4,"1,075.28"
Chandrapur,2013 - 2014,0,0,0,0,0,0,0,22,176.21,"9,806.17",0,22,176.21,"9,806.17",0,0,0,0,0,0,0,22,175.223,"8,736.61",0,22,175.223,"8,736.61"
Chandrapur,2014 - 2015,0,0,0,0,0,0,0,1,5.25,"1,025.88",1,1,5.25,"1,025.88",0,0,0,0,0,0,0,1,5.25,273.2,1,1,5.25,855.75
Chandrapur,2019 - 2020,0,0,0,0,0,0,0,20,131.96,"10,932.50",44,20,131.96,"19,426.10",0,0,0,0,0,0,0,20,130.31,"9,967.09",44,20,130.31,"17,908.77"
Chandrapur,2020 - 2021,0,0,0,0,0,0,0,20,136.638,"10,625.58",0,20,136.638,"10,625.58",0,0,0,0,0,0,0,17,133.258,"8,528.16",0,17,133.258,"8,528.16"
Chandrapur,2022 - 2023,0,0,0,0,0,0,0,3,27.528,"3,181.24",0,3,27.528,"3,181.24",0,0,0,0,0,0,0,0,8.33,672.26,0,0,8.33,672.26
Chandrapur,2023 - 2024,0,0,0,0,0,0,0,0,0,"4,111.69",18,0,0,"4,111.69",0,0,0,0,0,0,0,0,0,0,0,0,0,852.62
Dhule,2000 - 2001,0,0,0,0,0,0,0,16,22.44,307.59,0,16,22.44,307.59,0,0,0,0,0,0,0,16,22.44,61.35,0,16,22.44,61.35
Dhule,2001 - 2002,5,20.68,276.22,2,1,3,0,10,21.94,376.78,0,15,42.62,653,5,20.68,318.59,2,1,3,0,10,21.94,270.38,0,15,42.62,588.97
